,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Chainsmokers   Rozes, Roses ,Intro Edit,0.0435,https://api.spotify.com/v1/audio-analysis/3vv9phIu6Y1vX3jcqaGz5Z,12B,0.713,226739.0,0.802,3vv9phIu6Y1vX3jcqaGz5Z,0.00377,4.0,0.309,-7.055,1.0,0.0561,100.001,4.0,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,audio_features,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,0.343
1,w/ The Chainsmokers   Daya, Don't Let Me Down ,Acapella,0.00118,https://api.spotify.com/v1/audio-analysis/4Mj1hXadsITyAvvykDIjRe,8B,0.228,161357.0,0.908,4Mj1hXadsITyAvvykDIjRe,0.00163,0.0,0.353,0.976,1.0,0.0605,88.483,4.0,https://api.spotify.com/v1/tracks/4Mj1hXadsITyAvvykDIjRe,audio_features,spotify:track:4Mj1hXadsITyAvvykDIjRe,0.315
2,w/ Lookas Crankdat, Game Over,unknown,0.00026,https://api.spotify.com/v1/audio-analysis/0CcemBB8f2mL40RlNI20x2,12B,0.487,232000.0,0.953,0CcemBB8f2mL40RlNI20x2,0.828,4.0,0.811,-5.216,1.0,0.173,150.051,4.0,https://api.spotify.com/v1/tracks/0CcemBB8f2mL40RlNI20x2,audio_features,spotify:track:0CcemBB8f2mL40RlNI20x2,0.12
3,Mayhem Antiserum   MACTurnUp, Breaking In ,Bro Safari Remix,,,,,,,,,,,,,,,,,,,
4,w/ Antiserum Mayhem Gent Jawns, Where You Been? ,Acapella,0.162,https://api.spotify.com/v1/audio-analysis/3ZBN3kN0KmWYhWI3Ud12oF,4B,0.477,216000.0,0.873,3ZBN3kN0KmWYhWI3Ud12oF,0.000414,8.0,0.937,-8.716,1.0,0.0982,133.128,4.0,https://api.spotify.com/v1/tracks/3ZBN3kN0KmWYhWI3Ud12oF,audio_features,spotify:track:3ZBN3kN0KmWYhWI3Ud12oF,0.837
5,Bone Crusher, Never Scared,unknown,0.00924,https://api.spotify.com/v1/audio-analysis/4kmIO0yPq92dXtKCL28RfC,10A,0.586,316133.0,0.927,4kmIO0yPq92dXtKCL28RfC,1.85e-06,11.0,0.344,-4.077,0.0,0.194,73.023,4.0,https://api.spotify.com/v1/tracks/4kmIO0yPq92dXtKCL28RfC,audio_features,spotify:track:4kmIO0yPq92dXtKCL28RfC,0.528
6,w/ Eptic, Swords & Dragons,unknown,0.0482,https://api.spotify.com/v1/audio-analysis/5wXh35KIq49zqMHcNByCSI,3B,0.746,205241.0,0.975,5wXh35KIq49zqMHcNByCSI,0.003,1.0,0.176,-4.51,1.0,0.221,144.946,4.0,https://api.spotify.com/v1/tracks/5wXh35KIq49zqMHcNByCSI,audio_features,spotify:track:5wXh35KIq49zqMHcNByCSI,0.269
7,The Chainsmokers Tritonal   Emily Warren, Until You Were Gone ,Justin Caruso Remix,0.0541,https://api.spotify.com/v1/audio-analysis/12MqM3S0fTvR6X4Jt1Xvn6,3B,0.577,215625.0,0.698,12MqM3S0fTvR6X4Jt1Xvn6,0.0,1.0,0.131,-4.773,1.0,0.0451,128.061,4.0,https://api.spotify.com/v1/tracks/12MqM3S0fTvR6X4Jt1Xvn6,audio_features,spotify:track:12MqM3S0fTvR6X4Jt1Xvn6,0.324
8,w/ The Chainsmokers Tritonal   Emily Warren, Until You Were Gone,unknown,0.0541,https://api.spotify.com/v1/audio-analysis/12MqM3S0fTvR6X4Jt1Xvn6,3B,0.577,215625.0,0.698,12MqM3S0fTvR6X4Jt1Xvn6,0.0,1.0,0.131,-4.773,1.0,0.0451,128.061,4.0,https://api.spotify.com/v1/tracks/12MqM3S0fTvR6X4Jt1Xvn6,audio_features,spotify:track:12MqM3S0fTvR6X4Jt1Xvn6,0.324
9,Pierce Fulton   G,Eazy ,Nick Szary Mashup,0.00464,https://api.spotify.com/v1/audio-analysis/1Eck97uRMlprKOOJN9oO1E,3B,0.565,225526.0,0.771,1Eck97uRMlprKOOJN9oO1E,0.0,1.0,0.0568,-5.22,1.0,0.213,168.385,4.0,https://api.spotify.com/v1/tracks/1Eck97uRMlprKOOJN9oO1E,audio_features,spotify:track:1Eck97uRMlprKOOJN9oO1E,0.573
