,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Steve Angello   Les Browns, I Will Rejoice ,Working Title,0.956,https://api.spotify.com/v1/audio-analysis/242Uqt98Dj7GyYV4oDKb5r,10B,0.292,286253.0,0.37,242Uqt98Dj7GyYV4oDKb5r,0.000263,2.0,0.328,-8.808,1.0,0.0338,122.428,4.0,https://api.spotify.com/v1/tracks/242Uqt98Dj7GyYV4oDKb5r,audio_features,spotify:track:242Uqt98Dj7GyYV4oDKb5r,0.15
1,Steve Angello, Knas,unknown,0.00116,https://api.spotify.com/v1/audio-analysis/6d3gCQtM0PV1COmgXS26Vv,8B,0.795,300618.0,0.377,6d3gCQtM0PV1COmgXS26Vv,0.759,0.0,0.0676,-8.484,1.0,0.0654,127.998,4.0,https://api.spotify.com/v1/tracks/6d3gCQtM0PV1COmgXS26Vv,audio_features,spotify:track:6d3gCQtM0PV1COmgXS26Vv,0.265
2,Steve Angello   Matisse Sadko, SLVR,unknown,0.00458,https://api.spotify.com/v1/audio-analysis/3Qntjzw2xY1VDb6x808BPi,8B,0.659,306560.0,0.619,3Qntjzw2xY1VDb6x808BPi,0.972,0.0,0.0897,-7.389,1.0,0.05,128.015,4.0,https://api.spotify.com/v1/tracks/3Qntjzw2xY1VDb6x808BPi,audio_features,spotify:track:3Qntjzw2xY1VDb6x808BPi,0.119
3,w/ Eurythmics, Sweet Dreams ,Steve Angello Remix,0.988,https://api.spotify.com/v1/audio-analysis/2IaSnyXfUrEjBDhoKptAMo,7A,0.17,97814.0,0.0902,2IaSnyXfUrEjBDhoKptAMo,0.456,2.0,0.672,-27.297,0.0,0.0619,169.79,3.0,https://api.spotify.com/v1/tracks/2IaSnyXfUrEjBDhoKptAMo,audio_features,spotify:track:2IaSnyXfUrEjBDhoKptAMo,0.0324
4,Still Young Steve Angello   Tom Cane, Follow Me,unknown,0.123,https://api.spotify.com/v1/audio-analysis/5sSQaa6Exsc2g2xWnQKKpG,10A,0.485,221293.0,0.705,5sSQaa6Exsc2g2xWnQKKpG,0.274,11.0,0.481,-13.158,0.0,0.0317,74.958,4.0,https://api.spotify.com/v1/tracks/5sSQaa6Exsc2g2xWnQKKpG,audio_features,spotify:track:5sSQaa6Exsc2g2xWnQKKpG,0.728
5,w/ Steve Angello Laidback Luke   Robin S, Show Me Love ,Acapella,0.027,https://api.spotify.com/v1/audio-analysis/661NcPPp4RIn5aLn77LfZi,9B,0.792,236251.0,0.917,661NcPPp4RIn5aLn77LfZi,0.903,7.0,0.238,-8.797,1.0,0.0815,126.012,4.0,https://api.spotify.com/v1/tracks/661NcPPp4RIn5aLn77LfZi,audio_features,spotify:track:661NcPPp4RIn5aLn77LfZi,0.573
6,Corey James Teamworx, Make The Crowd Go,unknown,0.154,https://api.spotify.com/v1/audio-analysis/1Ll3XUM03QbWDWUKVvcl51,9B,0.554,158086.0,0.972,1Ll3XUM03QbWDWUKVvcl51,0.0245,7.0,0.178,-4.168,1.0,0.2,128.07,4.0,https://api.spotify.com/v1/tracks/1Ll3XUM03QbWDWUKVvcl51,audio_features,spotify:track:1Ll3XUM03QbWDWUKVvcl51,0.553
7,w/ Thomas Feelman STV, Recall,unknown,0.153,https://api.spotify.com/v1/audio-analysis/4dnqMfCe3AnCi5WnACLQow,3B,0.656,190067.0,0.842,4dnqMfCe3AnCi5WnACLQow,0.665,1.0,0.0825,-7.069,1.0,0.08,128.089,4.0,https://api.spotify.com/v1/tracks/4dnqMfCe3AnCi5WnACLQow,audio_features,spotify:track:4dnqMfCe3AnCi5WnACLQow,0.323
8,Steve Angello AN21 Sebjak, GODS,unknown,0.982,https://api.spotify.com/v1/audio-analysis/1LuvUlqig9qKRfpQesbxWF,9B,0.52,205973.0,0.0403,1LuvUlqig9qKRfpQesbxWF,0.772,7.0,0.0753,-25.809,1.0,0.0623,115.425,3.0,https://api.spotify.com/v1/tracks/1LuvUlqig9qKRfpQesbxWF,audio_features,spotify:track:1LuvUlqig9qKRfpQesbxWF,0.382
9,w/ The Good Men, Give It Up ,Acapella,0.0192,https://api.spotify.com/v1/audio-analysis/3yDhZq8f17SmumVmEyCaRN,5B,0.862,254240.0,0.624,3yDhZq8f17SmumVmEyCaRN,0.000153,3.0,0.0465,-11.63,1.0,0.0565,124.896,4.0,https://api.spotify.com/v1/tracks/3yDhZq8f17SmumVmEyCaRN,audio_features,spotify:track:3yDhZq8f17SmumVmEyCaRN,0.882
