,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Richard Lowe,Levitate,unknown,0.00128,https://api.spotify.com/v1/audio-analysis/5rj0lkvtXRgJmvr8hR3yxR,10B,0.602,232500.0,0.824,5rj0lkvtXRgJmvr8hR3yxR,0.877,2.0,0.658,-8.706,1.0,0.0432,127.984,4.0,https://api.spotify.com/v1/tracks/5rj0lkvtXRgJmvr8hR3yxR,audio_features,spotify:track:5rj0lkvtXRgJmvr8hR3yxR,0.421
1,"Above,Beyond,Richard Bedford",Northern Soul,unknown,0.0293,https://api.spotify.com/v1/audio-analysis/6poaggkSYGIoUjyuippcQ2,4A,0.563,335853.0,0.546,6poaggkSYGIoUjyuippcQ2,0.00018,5.0,0.173,-11.137,0.0,0.0659,127.994,4.0,https://api.spotify.com/v1/tracks/6poaggkSYGIoUjyuippcQ2,audio_features,spotify:track:6poaggkSYGIoUjyuippcQ2,0.125
2,"Armin van Buuren,Rising Star,Betsie Larkin",Again,ARMADA,0.0167,https://api.spotify.com/v1/audio-analysis/0j5QE6tXrUiMVTsjismdTE,11A,0.677,233864.0,0.874,0j5QE6tXrUiMVTsjismdTE,0.000138,6.0,0.175,-2.992,0.0,0.0702,131.988,4.0,https://api.spotify.com/v1/tracks/0j5QE6tXrUiMVTsjismdTE,audio_features,spotify:track:0j5QE6tXrUiMVTsjismdTE,0.258
3,Beatsole,Before I Wake,ARMADA,0.00251,https://api.spotify.com/v1/audio-analysis/3pd9CZkxXky216pwZfEQuc,4A,0.439,87024.0,0.989,3pd9CZkxXky216pwZfEQuc,0.823,5.0,0.338,-4.148,0.0,0.159,133.132,4.0,https://api.spotify.com/v1/tracks/3pd9CZkxXky216pwZfEQuc,audio_features,spotify:track:3pd9CZkxXky216pwZfEQuc,0.0393
4,"Kaltflut,Susan Mcdaid",Silent Whispers,unknown,3.39e-05,https://api.spotify.com/v1/audio-analysis/1RQLPTrw6v1ZvNUix7avav,12A,0.604,490498.0,0.724,1RQLPTrw6v1ZvNUix7avav,0.377,1.0,0.0528,-5.602,0.0,0.0433,134.024,4.0,https://api.spotify.com/v1/tracks/1RQLPTrw6v1ZvNUix7avav,audio_features,spotify:track:1RQLPTrw6v1ZvNUix7avav,0.315
5,"Paul van Dyk,Emanuele Braveri,Rebecca Louise Burch",Escape Reality Tonight,unknown,0.00762,https://api.spotify.com/v1/audio-analysis/5Di8Ee5QgUocdK0rzQlOhU,3B,0.53,186612.0,0.893,5Di8Ee5QgUocdK0rzQlOhU,0.422,1.0,0.141,-8.843,1.0,0.0654,136.03,4.0,https://api.spotify.com/v1/tracks/5Di8Ee5QgUocdK0rzQlOhU,audio_features,spotify:track:5Di8Ee5QgUocdK0rzQlOhU,0.0415
6,Radion6,A State Of Mind,ARMADA,0.00129,https://api.spotify.com/v1/audio-analysis/6a9WmforI5kFSKUdgsHNl5,1A,0.511,198088.0,0.856,6a9WmforI5kFSKUdgsHNl5,0.879,8.0,0.5,-9.664,0.0,0.0435,136.003,4.0,https://api.spotify.com/v1/tracks/6a9WmforI5kFSKUdgsHNl5,audio_features,spotify:track:6a9WmforI5kFSKUdgsHNl5,0.153
7,Sneijder,Vaporize,BLACK HOLE,0.00178,https://api.spotify.com/v1/audio-analysis/6L0UmjYFmLQU7LJ4jczPOt,11A,0.666,374283.0,0.996,6L0UmjYFmLQU7LJ4jczPOt,0.865,6.0,0.165,-7.325,0.0,0.0769,136.003,4.0,https://api.spotify.com/v1/tracks/6L0UmjYFmLQU7LJ4jczPOt,audio_features,spotify:track:6L0UmjYFmLQU7LJ4jczPOt,0.337
8,Richard Lowe,Fear The Beast,FRACTION,0.00861,https://api.spotify.com/v1/audio-analysis/6H8ZfAc9RVdISPQKOtAYCf,10B,0.565,447761.0,0.947,6H8ZfAc9RVdISPQKOtAYCf,0.733,2.0,0.681,-5.573,1.0,0.0981,133.981,4.0,https://api.spotify.com/v1/tracks/6H8ZfAc9RVdISPQKOtAYCf,audio_features,spotify:track:6H8ZfAc9RVdISPQKOtAYCf,0.109
9,David Forbes,Wormhole,unknown,0.00143,https://api.spotify.com/v1/audio-analysis/3cXDuP2QlHWaHs59j4rGxD,10B,0.493,217060.0,0.979,3cXDuP2QlHWaHs59j4rGxD,2.04e-05,2.0,0.175,-3.462,1.0,0.136,136.032,4.0,https://api.spotify.com/v1/tracks/3cXDuP2QlHWaHs59j4rGxD,audio_features,spotify:track:3cXDuP2QlHWaHs59j4rGxD,0.0582
